,contextual_precision,contextual_recall,contextual_relevancy,mmr,ares_contextual_relevance_docs,ares_contextual_relevance_scores,ragas_contextual_precision,ragas_contextual_recall
0,"(1.0, {'classification': [0.5, 1, 0.5, 0, 0], 'explanation': [""This chunk notes that RHS is named after John Rankin Rogers. This supports the portion of the query about the school's namesake but does not answer the district/location part."", 'This chunk directly answers the question, providing both the district (Puyallup School District) and the fact it is located in Washington, United States. It is fully relevant.', 'This chunk provides information about John Rankin Rogers himself, supporting context about the namesake of the school but not directly addressing the district/location.', 'This chunk refers to Rogers High School in Texas, not the Governor John R. Rogers High School in Washington, and is irrelevant to the answer.', 'This chunk further refers to the location of a different Rogers High School in Texas and its school district, not the one in question.']})","(1.0, {'claim': ['Governor John R. Rogers High School is named after John Rankin Rogers.', 'Governor John R. Rogers High School is located in the Puyallup School District of Washington, United States.'], 'classification': [1, 1], 'explanation': ['This claim is supported by the chunk: \'Commonly referred to as ""Rogers"" or ""RHS,"" the high school is named after former Washington State governor John Rankin Rogers.\'', ""This claim is directly supported by the chunk: 'Governor John R. Rogers High School is a high school in the Puyallup School District of Washington, United States.'""]})",0.636601455457393,0.5,"['Commonly referred to as ""Rogers"" or ""RHS,"" the high school is named after former Washington State governor John Rankin Rogers.', 'Governor John R. Rogers High School is a high school in the Puyallup School District of Washington, United States.', 'John Rankin Rogers (September 4, 1838 – December 26, 1901) was the third Governor of the state of Washington.', 'Rogers High School is a 3A public high school located in Rogers, Texas (USA).', 'It is part of the Rogers Independent School District located in southeastern Bell County.']","['[[No]]', '[[Yes]]', '[[No]]', '[[No]]', '[[No]]']",0.49999999995,1.0
1,"(1.0, {'classification': [1, 0.5, 1, 0, 0], 'explanation': ['Chunk 1 directly states that Daniel Ricciardo won the 44-lap race for Red Bull Racing after starting from fifth position, explicitly supporting the answer.', 'Chunk 2 is related to Ricciardo and Red Bull Racing, but only discusses his confirmation as a driver, not his victory or race details, so it is topically related but not directly used.', ""Chunk 3 confirms Daniel Ricciardo is an Australian racing driver who has competed for Red Bull Racing, supporting the part of the answer specifying his nationality and team, though it doesn't cover the win details."", ""Chunk 4 is a detailed account of another driver's (or possibly Ricciardo's) career, mostly before Red Bull Racing, and is not relevant to the win or specific race in the answer."", ""Chunk 5 discusses testing and third driver roles and other teams, but does not address Ricciardo's relevant win or the event in question.""]})","(1.0, {'claim': ['Daniel Ricciardo won the 44-lap race for the Red Bull Racing team.', 'Daniel Ricciardo is an Australian racing driver.'], 'classification': [1, 1], 'explanation': [""There is a chunk stating 'The 44-lap race was won by Daniel Ricciardo for the Red Bull Racing team,' which matches the claim directly."", ""There is a chunk stating 'Daniel Joseph Ricciardo ... is an Australian racing driver who is currently competing in Formula One for Red Bull Racing,' which directly supports the claim.""]})",0.5511378288028241,1.0,"['The 44-lap race was won by Daniel Ricciardo for the Red Bull Racing team, after starting from fifth position.', 'After Mark Webber announced his retirement from Formula One, Ricciardo was confirmed as his replacement at Red Bull Racing for 2014.', 'Daniel Joseph Ricciardo ( ; born 1 July 1989) is an Australian racing driver who is currently competing in Formula One for Red Bull Racing.', 'In 2005 he switched to the Formula Renault 3.5 with Swiss team Jenzer Motorsport, despite three DNS in the first 3 and missing one race of that season he finished 13th with 34 points with a best finish of 3rd in the second race in the Bugatti Circuit, to 2006 he switched to Carlin where he finished 6th in the first race of the season in Zolder, however he failed to qualify to the Second Race of the weekend and he finished 4th in Circuit de Monaco and 8th in both races in Istanbul Park, after this round he asked to leave Carlin and the Red Bull Junior Team, Red Bull officially released him and he was replaced by fellow Red Bull Junior Team member and Future Formula One Champion Sebastian Vettel, after leaving Red Bull, he returned to the United States to complete in the Atlantic Championship mid-season and he finished 20th with 45 points and since then has not raced anymore in a Major Series, until he decided to retire.', 'He has been test and third driver for the Jordan and Red Bull Racing Formula One teams, as well as driving for Minardi and Red Bull Racing in 2005 and 2006.']","['[[Yes]]', '[[No]]', '[[Yes]]', '[[No]]', '[[No]]']",0.8333333332916666,1.0
2,"(1.0, {'classification': [1, 0.5, 1, 0.5, 0], 'explanation': [""Chunk 1 is directly relevant because it confirms Nick Offerman is indeed the star of 'Parks and Recreation,' which is necessary to link him to the query."", ""Chunk 2 is somewhat relevant as it provides background on the film 'November,' but it does not mention Nick Offerman or his involvement, so it's only background context."", ""Chunk 3 is highly relevant and directly supports the answer, as it explicitly lists Nick Offerman as one of the co-stars of 'November,' connecting him to the film."", ""Chunk 4 is partially relevant, as it describes 'November' and its plot, which relates to the context of the question, but it does not mention Nick Offerman or his role."", ""Chunk 5 is not relevant; it discusses Nick Offerman's later roles and does not reference 'November' or 'Parks and Recreation' in relation to the query.""]})","(1.0, {'claim': ['Nick Offerman appeared in the film November.', ""Nick Offerman played the role of Ron Swanson in 'Parks and Recreation'.""], 'classification': [1, 1], 'explanation': [""One chunk states 'The film co-stars Michael Ealy, Nora Dunn, Anne Archer, Nick Offerman, and Matthew Carey.', clearly linking Nick Offerman to the film November."", ""Another chunk states 'Nick Offerman ... widely known for his breakout role as Ron Swanson in the acclaimed NBC sitcom Parks and Recreation', confirming his role in Parks and Recreation.""]})",0.4064425154647832,1.0,"['Nicholas ""Nick"" Offerman (born June 26, 1970) is an American actor, voice actor, producer, writer, comedian and carpenter widely known for his breakout role as Ron Swanson in the acclaimed NBC sitcom ""Parks and Recreation"", for which he received the Television Critics Association Award for Individual Achievement in Comedy.', 'November is a 2004 American psychological thriller film first screened at the 2004 Sundance Film Festival.', 'The film co-stars Michael Ealy, Nora Dunn, Anne Archer, Nick Offerman, and Matthew Carey.', 'It stars Courteney Cox as Sophie, a photographer whose life begins to unravel following a traumatic incident on November 7 that involved her boyfriend, played by James LeGros.', 'His first major television role since the end of ""Parks and Recreation"" was his role as Karl Weathers in the FX series ""Fargo"", for which he received a Critics\' Choice Television Award nomination for Best Supporting Actor in a Movie/Miniseries and Gavin in the Ice Age franchise.']","['[[No]]', '[[No]]', '[[Yes]]', '[[No]]', '[[No]]']",0.3333333333,1.0
3,"(1.0, {'classification': [0.5, 1, 1, 0, 0], 'explanation': ['The first chunk provides basic taxonomic information about Crocosmia but does not indicate its native range, so it is only tangentially relevant to answering which genus is further south.', 'The second chunk directly states that Crocosmia is native to eastern South Africa, Lesotho, and Swaziland, which substantiates the answer that Crocosmia is found further south.', ""The third chunk states that Cimicifuga is native to temperate regions of the Northern Hemisphere, directly supporting the part of the answer about Cimicifuga's native range."", 'The fourth chunk only discusses taxonomic reclassification and does not add geographic information, making it irrelevant for answering the query.', 'The fifth chunk merely states Crocosmia is a popular ornamental plant, not contributing to its geographic distribution.']})","(1.0, {'claim': ['Crocosmia is found in an environment further south than Cimicifuga.'], 'classification': [1], 'explanation': ['One chunk states that Crocosmia paniculata is native to eastern South Africa, Lesotho, and Swaziland, which are much further south than the temperate Northern Hemisphere (as stated for Cimicifuga). This directly supports the claim that Crocosmia is found further south than Cimicifuga.']})",0.5283021223697715,0.0,"['Crocosmia ( ; J. E. Planchon, 1851) (montbretia) is a small genus of flowering plants in the iris family, Iridaceae.', 'Crocosmia paniculata (Aunt Eliza) is a bulbous flowering plant that is native to eastern South Africa, Lesotho, and Swaziland, growing in wet areas by streams, marshes, and drainages.', 'Cimicifuga (bugbane or cohosh) was a genus of between 12-18 species of flowering plants belonging to the family Ranunculaceae, native to temperate regions of the Northern Hemisphere.', 'Like some other species in genus ""Actaea"", this plant was formerly included in the genus ""Cimicifuga"".', 'It is a popular ornamental plant.']","['[[No]]', '[[Yes]]', '[[No]]', '[[No]]', '[[No]]']",0.0,1.0
4,"(0.3333333333333333, {'classification': [0, 0, 1, 0, 0], 'explanation': [""Chunk 1 discusses The Dingoes' background but does not provide information about Chris Stockley's shooting or the man who shot him."", 'Chunk 2 states information about The Dingoes’ debut single, unrelated to Chris Stockley’s shooting.', ""Chunk 3 is relevant because it identifies that Chris Stockley was shot by Melbourne drug-dealer Dennis Allen, providing partial context this is the key piece of information linked to the answer, though it does not give the year of the shooter's death."", 'Chunk 4 mentions albums by The Dingoes and is unrelated to the query.', ""Chunk 5 is about a different Chris and a different incident; it's unrelated.""]})","(0.5, {'claim': ['Dennis Bruce Allen was the man who shot Chris Stockley of The Dingoes.', 'Dennis Bruce Allen died in 1987.'], 'classification': [1, 0], 'explanation': [""There is a retrieved chunk stating that 'Stockley was hospitalised when shot in the stomach by Melbourne drug-dealer, Dennis Allen,' which supports that Dennis Allen (Dennis Bruce Allen) was the shooter; this justifies claim 1."", 'No chunk in the retrieved list provides any information about the year Dennis Bruce Allen died, or even that he is deceased; thus, claim 2 is not supported by the retrieved context.']})",0.44961486034515935,0.0,"['The Dingoes is an Australian country rock band initially active from 1973 to 1979, formed in Melbourne which relocated to the United States from 1976.', 'The Dingoes\' debut single, ""Way Out West"", was released in November 1973, and peaked in the top 40 of the Australian Kent Music Report singles chart.', 'Mal Logan (who provided keyboards the first LP) on keyboards joined after Stockley was hospitalised when shot in the stomach by Melbourne drug-dealer, Dennis Allen, who was attempting to gate crash a party.', 'They had three top 40 albums, ""The Dingoes"" in 1974, ""Fives Times the Sun"" in 1977, and ""Orphans of the Storm"" in 1979.', 'Initially, Chris was a good man who ran his business fairly, but was left permanently resentful of his life when he was maimed in a plane crash in 1993, which left him paralyzed from the waist down.']","['[[No]]', '[[No]]', '[[No]]', '[[No]]', '[[No]]']",0.0,0.0
5,"(0.95, {'classification': [1, 1, 0.5, 0, 1], 'explanation': [""Chunk 1 is directly relevant, stating The Four Seasons were successful in the 1960s and 1970s, supporting their popularity during the Beatles' era."", 'Chunk 2 is directly relevant, stating The Four Seasons were the most popular rock band before the Beatles, supporting the generated answer.', ""Chunk 3 provides background about The Four Seasons' members and formation, which is related but not directly reflected in the answer."", 'Chunk 4 refers to alternate naming since 1970, not relevant to the timeframe in question or the generated answer.', ""Chunk 5 is directly relevant, giving information about Local H's activity and release date (2014), supporting the answer's point that they were not around during the Beatles' era.""]})","(0.5, {'claim': ['Both The Four Seasons and Local H were popular at the same time as the Beatles.', 'The Four Seasons were noted as the most popular rock band before the Beatles.', ""Local H was formed in the late 1980s and their popularity would have overlapped with the Beatles' era.""], 'classification': [0.5, 1, 0], 'explanation': ['There is evidence in the chunks that The Four Seasons were popular in the 1960s (when the Beatles were active), but nothing in the chunks shows Local H was active or popular at the same time as the Beatles. Both bands are mentioned, but no direct overlap is established for Local H.', 'Chunk 2 specifically says the group was the most popular rock band before the Beatles, which directly supports this claim.', ""None of the chunks mention when Local H was formed (late 1980s) or anything linking their timeline to the Beatles' era. The only mention is to a 2014 release by Local H, which is unrelated to the Beatles' period.""]})",0.4608013025574863,1.0,"['The Four Seasons is an American rock and pop band that became internationally successful in the 1960s and 1970s.', 'The Vocal Group Hall of Fame has stated that the group was the most popular rock band before the Beatles.', ""Local H's Awesome Mix Tape #2 is an extended play by American alternative rock duo Local H, which was released in December 2014 through their merchandiser, G&P Records."", 'Since 1970, they have also been known at times as Frankie Valli and the Four Seasons.', 'In 1960, the group known as the Four Lovers evolved into the Four Seasons, with Frankie Valli as the lead singer, Bob Gaudio (formerly of the Royal Teens) on keyboards and tenor vocals, Tommy DeVito on lead guitar and baritone vocals, and Nick Massi on electric bass and bass vocals.']","['[[No]]', '[[No]]', '[[No]]', '[[No]]', '[[No]]']",0.0,0.3333333333333333
6,"(0.8666666666666667, {'classification': [0.5, 0.5, 0, 0, 1], 'explanation': [""The first chunk establishes a relationship to the first Viscount Barnewall, but doesn't directly state any support for the king or make the connection to the query's answer—partially related but not fully necessary."", 'This chunk discusses the Barnewall titles and lineage, indicating context, but does not mention the grandson or the relevant historical event—some context but not directly answering.', 'This chunk refers to a son of the third Viscount, which is not directly needed for answering the question about the grandson of the first Viscount who supported the king—irrelevant to the answered query.', ""This describes the family's origins and connections to other figures (like Cromwell), but does not clearly connect to the support of James II or the specific Viscount Barnewall—irrelevant to the answer."", 'This directly states that the grandson (the third Viscount) was a supporter of James II, the king deposed in the Glorious Revolution—this chunk clearly provides the crucial information for the answer.']})","(1.0, {'claim': ['The king deposed in the Glorious Revolution of 1688 (James II) was supported by the grandson of the third Viscount Barnewall.'], 'classification': [1], 'explanation': [""The retrieved chunk 'He was the son of the Honourable George Barnewall, younger son of the third Viscount.' confirms the existence of descendants of the third Viscount, and another chunk states 'His grandson, the third Viscount, was a supporter of James II and outlawed.' This directly links support for James II (the deposed king in the Glorious Revolution) to the third Viscount's descendant, thus fully supporting the claim that the grandson of the third Viscount Barnewall supported the deposed king.""]})",0.5800803162083028,0.0,"['He was the great-grandson of the Honourable Richard Barnewall, younger son of the first Viscount.', 'He belonged to a junior branch of the family of Lord Trimlestown: his own descendants held the title Viscount Barnewall of Kingsland.', 'He was the son of the Honourable George Barnewall, younger son of the third Viscount.', ""The Kingsland Barnewalls were a junior branch of the family of Baron Trimleston; Nicholas's great-grandfather Sir Patrick Barnewall had achieved political prominence through his friendship with Thomas Cromwell and done well out of the Dissolution of the Monasteries ."", 'His grandson, the third Viscount, was a supporter of James II and outlawed.']","['[[No]]', '[[No]]', '[[No]]', '[[No]]', '[[Yes]]']",0.36666666664833336,1.0
7,"(1.0, {'classification': [0.5, 0.5, 0.5, 0.5, 1], 'explanation': ['Chunk 1 references the general context of elementary flying training schools and the RAAF, which is related to the topic and background of the question, but does not specify the location or city center, so scored 0.5.', 'Chunk 2 is a duplicate of chunk 1 and likewise provides background relevance but not a direct location, so scored 0.5.', 'Chunk 3 states that No. 3 EFTS was an RAAF unit during WWII, which directly connects to part of the query (identity of the unit), scoring 0.5 for partial relevance.', 'Chunk 4 specifies No. 3 Elementary Flying Training School but doesn’t mention the location or city, partially relevant for identification, scoring 0.5.', ""Chunk 5 mentions '11 Elementary Flying School at Benalla, Victoria', which directly contributes to the answer by specifying the relevant location, making it essential for generating the response, so scored 1.""]})","(0.0, {'claim': ['No. 3 Elementary Flying Training School RAAF operated at Essendon Airport during World War 2.', ""Essendon Airport is the closest to Melbourne's City Centre in Australia.""], 'classification': [0, 0], 'explanation': [""None of the retrieved text chunks mention Essendon Airport as the location where No. 3 Elementary Flying Training School RAAF operated. The chunks only refer to the school's existence and function, not its specific location."", ""None of the retrieved text chunks specify Essendon Airport's proximity to Melbourne's City Centre, or even mention Melbourne. Therefore, this claim is completely unsupported by the provided information.""]})",0.5896785926262025,0.0,"[""It was one of twelve elementary flying training schools employed by the RAAF to provide introductory flight instruction to new pilots as part of Australia's contribution to the Empire Air Training Scheme. No."", ""It was one of twelve elementary flying training schools employed by the RAAF to provide introductory flight instruction to new pilots as part of Australia's contribution to the Empire Air Training Scheme. No."", '3 EFTS) was a Royal Australian Air Force (RAAF) pilot training unit that operated during World War II.', 'No. 3 Elementary Flying Training School (No.', '11 Elementary Flying School at Benalla, Victoria.']","['[[No]]', '[[No]]', '[[No]]', '[[No]]', '[[No]]']",0.0,0.0
8,"(1.0, {'classification': [1, 0.5, 1, 0, 0], 'explanation': ['This chunk gives the location of the Hedley Mascot Mine, directly supporting the answer.', ""While this chunk gives more details about the Hedley Mascot Mine, it's only partially relevant since it expands on the location but isn't directly tied to what was used in the answer."", ""This chunk directly provides the location of Catcha Lake, matching the answer's content."", 'This chunk discusses other mines and is not relevant to the locations of Catcha Lake or Hedley Mascot Mine.', ""This chunk talks about a mine opened in 1973 but doesn't specify which mine and provides no information connected to the locations in the query or answer.""]})","(1.0, {'claim': [""Catcha Lake is located in the central part of Nova Scotia's Halifax Regional Municipality in Canada."", 'The Hedley Mascot Mine is located in Hedley, British Columbia, Canada.'], 'classification': [1, 1], 'explanation': [""Claim 1 is fully supported by the retrieved chunk: 'Catcha Lake is a Canadian lake located in the central part of Nova Scotia's Halifax Regional Municipality.' This directly provides the location of Catcha Lake as required by the claim."", ""Claim 2 is fully supported by the retrieved chunk: 'The Hedley Mascot Mine was a gold mine in Hedley, British Columbia, Canada.' This clearly verifies the location of the Hedley Mascot Mine as described in the ground truth answer.""]})",0.43786528892110466,1.0,"['The Hedley Mascot Mine was a gold mine in Hedley, British Columbia, Canada.', 'The Hedley Mascot Mine operated between 1936 and 1949 and was one of the most unusual mining operations in the world, being built entirely on the side of a mountain, 5,000 feet above the town of Hedley or seven thousand feet above sea level.', ""Catcha Lake is a Canadian lake located in the central part of Nova Scotia's Halifax Regional Municipality."", 'In addition to the main underground mine, the mining complex also includes MUK-96 underground mine, Raspadskaya Koksovaya underground mine, and Razrez Raspadsky open-pit mine, as also the Raspadskaya preparation plant.', 'The mine was opened in 1973 and its construction was completed in 1977.']","['[[Yes]]', '[[Yes]]', '[[Yes]]', '[[No]]', '[[No]]']",0.0,1.0
9,"(0.5888888888888889, {'classification': [0, 1, 1, 0, 1], 'explanation': [""The first chunk gives information about Ulli Lommel's background as a German actor and director, but does not state anything about his time living in the USA."", ""This chunk says Stoloff was born in Philadelphia, Pennsylvania, which confirms he was born in the USA and is used for the answer to explain what is known about Stoloff's time in the USA."", 'This chunk provides information that Stoloff was an American film director and producer, which helps confirm his nationality and that he lived in the USA, referenced in the answer. It does not specify duration but is contextually used.', ""This chunk is about Lommel's involvement with Andy Warhol and The Factory, but does not provide information about his time living in the USA."", 'This chunk explicitly states that Ulli Lommel has lived and worked in the USA since 1977, which is directly used in the answer to describe how long Lommel has lived in the USA.']})","(0.8333333333333334, {'claim': ['Ulli Lommel has lived longer in the USA than Benjamin Stoloff.', 'Benjamin Stoloff died in 1960.', 'Ulli Lommel has lived and worked in the USA since 1977.'], 'classification': [0.5, 1, 1], 'explanation': ['There is evidence in the retrieved context that Ulli Lommel has lived and worked in the USA since 1977, and that Benjamin Stoloff died in 1960. However, there is no direct comparison or explicit statement about total duration spent by either person in the USA, so the comparative claim that Lommel has lived in the USA longer than Stoloff is only partially supported.', 'The chunk \'Benjamin ""Ben"" Stoloff (October 6, 1895 – September 8, 1960) was an American film director and producer.\' supports the claim that Benjamin Stoloff died in 1960.', ""The chunk 'Since 1977 he has lived and worked in the USA, where he has written, directed and starred in over 50 movies.' directly supports the claim that Ulli Lommel has lived and worked in the USA since 1977.""]})",0.47420350615695595,0.0,"['Ulli Lommel (born 21 December 1944) is a German actor and director, noted for his many collaborations with Rainer Werner Fassbinder and his association with the New German Cinema movement.', 'Stoloff was born in Philadelphia, Pennsylvania.', 'Benjamin ""Ben"" Stoloff (October 6, 1895 – September 8, 1960) was an American film director and producer.', 'Lommel is also well known for the time which he spent at The Factory and as a creative associate of Andy Warhol, with whom he made several films and works of art.', 'Since 1977 he has lived and worked in the USA, where he has written, directed and starred in over 50 movies.']","['[[No]]', '[[No]]', '[[No]]', '[[No]]', '[[No]]']",0.0,0.5
